"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ULVJEBZH","journalArticle","2019","Erden, Caner; Karayel, Halil; Demi̇r, Halil İbrahim; Kökçam, Abdullah Hulusi","Selection of the Best LNG Natural Gas Supplier with Multi-Criteria Decision-Making Techniques: Turkey Example in Current Conditions","JOEEP: Journal of Emerging Economies and Policy","","","","https://dergipark.org.tr/tr/pub/joeep/463749","Decision of supplier selection has a crucial importance for a firm to succeed. Liquefied Natural Gas‎ (LNG) is a crucial alternative to ensure the safety of natural gas supply in today's conditions, especially for the state of natural gas supply security. LNG supplier selection constitutes the most important key point of this process. This study aims to make the selection of the best LNG natural gas supplier for Turkey using the Analytic Hierarchy Process (AHP) and Technique for Order Preference by Similarity to Ideal Solution (TOPSIS) methods according to the current conditions. For this purpose, expert opinions, activity reports and literature reviews were made to determine main and sub criteria. AHP method is applied by using Expert Choice Software and TOPSIS was analyzed with Microsoft Excel for the best supplier choice. In addition, it has been shown that which criteria brings which alternatives forward, which criteria are decisive in the result and which are not decisive.","2019-06-30","2020-05-07 10:48:21","2020-05-07 11:46:17","2020-05-07 10:48:21","13-30","","1","4","","","Selection of the Best LNG Natural Gas Supplier with Multi-Criteria Decision-Making Techniques","","","","","","","en","All rights reserved","","","","Diğer","","","","G:\Drive'ım\Zotero_Attachments\erden_et_al_2019_selection_of_the_best_lng_natural_gas.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJ7REVSY","journalArticle","2017","Tanyeri, Ahmet Erhan; Erden, Caner; Çerezci, Feyza","Students Profile Choosing Sakarya University in the 2016‐2017 Fall Semester and Their Reasons to Choose","The Online Journal of Quality in Higher Education","","","","http://www.tojqih.net/journals/tojqih/articles/v04i02/v04i02-07.pdf","In this study it is aimed to reveal that in which way students choose Sakarya University, Institute of Science and Technology (SAUIST) and the demographic data of students in terms of choosing SAUIST for the 2016-2017 fall semester. The most important findings of the study is that %28 of the students surveyed the study say that it is because of Sakarya's geographical location to choose SAUIST. Secondly ranked of preferred reason is the national/international recognition of SAU which is mentioned by %23 of the students surveyed. The method of the study is in the form of field study and a survey with 10 questions was applied to SAUIST students who enrolled for a graduate program. The results obtained from the survey were analyzed using SPSS software and significant results have been tried to achive. The universe and sample of the study is the students of SAUIST who enrolled on the 2016-2017 fall semester. As a conclusion, it is suggested that it could be done for a more homogeneous distribution for the improvement of the existing channels for the preffered choise and demographic studies for in the future in terms of preferred rations for the period with this study.","2017","2018-11-05 07:06:45","2020-05-07 11:46:07","","37–41","","2","4","","","","","","","","","","","CC0 1.0 Universal Public Domain Dedication","","","","Diğer","","","","G:\Drive'ım\Zotero_Attachments\tanyeri_et_al_2017_students_profile_choosing_sakarya.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UBCN6VTZ","journalArticle","2017","Demir, Halil Ibrahim; Erden, Caner; Ipek, Mumtaz; Uygun, Ozer","Solving Weighted Number of Operation Plus Processing Time Due-Date Assignment, Weighted Scheduling and Process Planning Integration Problem Using Genetic and Simulated Annealing Search Methods","International Journal of Mechanical, Aerospace, Industrial, Mechatronic and Manufacturing Engineering","","","","http://scholar.waset.org/1999.8/10006048%0Ahttp://www.waset.org/publications/10006048","","2017","2020-05-07 10:31:06","2020-05-07 11:44:20","","73–81","","1","11","","","","","","","","","","","All rights reserved","","","","","","Konf","","G:\Drive'ım\Zotero_Attachments\demir_et_al_2017_solving_weighted_number_of_operation.pdf","","Folder - erden; Folder - single machine scheduling with due date d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M5IV2D9L","journalArticle","2018","Demir, Halil İbrahim; Erden, Caner; İpek, Mümtaz; Kökçam, Abdullah Hulusi","Solving Process Planning, Weighted Apparent Tardiness Cost Dispatching, And Weighted Processing Plus Weight Due-Date Assignment Simultaneously Using A Hybrid Search","e-Journal of New World Sciences Academy","","13063111","10.12739/NWSA.2018.13.4.2A0158","http://dergipark.gov.tr/download/article-file/553274","","2018-10-17","2020-05-07 10:49:38","2020-05-07 11:42:57","2020-05-07 10:49:38","285-300","","4","13","","NWSA","","","","","","","","","All rights reserved","","","","Diğer","","","","G:\Drive'ım\Zotero_Attachments\demir_et_al_2018_solving_process_planning,_weighted2.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SNFCFDSA","journalArticle","2017","Demir, Halil Ibrahim; Goksu, Alper; Canpolat, Onur; Erden, Caner; Nur, Melek","Solving Process Planning and Scheduling with Number of Operation Plus Processing Time Due-Date Assignment Concurrently Using a Genetic Search","International Journal of Mechanical, Aerospace, Industrial, Mechatronic and Manufacturing Engineering","","","","https://waset.org/Publication/solving-process-planning-and-scheduling-with-number-of-operation-plus-processing-time-due-date-assignment-concurrently-using-a-genetic-search/10007405","Traditionally process planning, scheduling and due date assignment are performed sequentially and separately. High interrelation between these functions makes integration very useful. Although there are numerous works on integrated process planning and scheduling and many works on scheduling with due date assignment, there are only a few works on the integration of these three functions. Here we tested the different integration levels of these three functions and found a fully integrated version as the best. We applied genetic search and random search and genetic search was found better compared to the random search. We penalized all earliness, tardiness and due date related costs. Since all these three terms are all undesired, it is better to penalize all of them.","2017-05","2020-05-07 10:34:10","2020-05-07 11:41:50","","1297–1303","","7","11","","","","","","","","","","","All rights reserved","","","","","","Konf","","G:\Drive'ım\Zotero_Attachments\demir_et_al_2017_solving_process_planning_and_scheduling.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9J5Z222Z","journalArticle","2017","Arslan, Fatma Nur; Teke, Çagatay; Erden, Caner","Project Management Application in Food Machine Manufacturing Company","International Journal of Engineering and Technology Research","","","","http://dergipark.gov.tr/ijente/issue/32734/363158","The importance of project management and resource planning is increasing with each passing day, especially companies do project basis business. The usage of project management principles and techniques enable to complete the project in accordance with its budget, specifications and due date. In addition to this, it facilitates the achieving the objectives such as productivity and quality. Therefore, companies gain advantage in terms of competition. Planning while taking project in companies related to it provides knowledge about its cost, completion time and resource requirements. Thus, companies make a decision whether the project is profitable or not. If final decision is that the project is profitable, required material, labor and finance are supplied for completing the project perfectly and in time. In this study, information about project management and project planning were given firstly. Secondly, project management application for a food machine was conducted. Finally, results of the project were evaluated by investigating its cost, resources and schedule.","2017","2018-11-05 07:06:40","2020-05-07 11:40:04","","7–12","","1","2","","","","","","","","","","","CC0 1.0 Universal Public Domain Dedication","","","","Diğer","","","","G:\Drive'ım\Zotero_Attachments\arslan_et_al_2017_project_management_application_in_food.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XN2WVS8K","journalArticle","2016","Erden, Caner; Tanyeri, Ahmet Erhan; İşgören, Hakan; Şimşek, Nurcan","Investigation of The Effect on the Buying Behavior of Female Figure Usi̇ng Factor Analysis Method: Male Grooming Products Case","Akademic Perspective","","1694-528X","","https://dergipark.org.tr/tr/download/article-file/383586","This study aims to measure, Women's Figure of the Effects of Consumer Perception in 'Men Care Products Using TV ad. For this purpose, the study asked 17 questions in Likert scale. Study was carried out with the staff at Sakarya University both administrative and academic in the years 2015-2016.In total, data from 100 participants have tried to summarize the factor analysis. The study used SPSS 22 software package is presented by analyzing the information obtained. At the end of 5 pieces factors identified and the process of naming the factors that have been made.","2016","2018-11-05 07:06:48","2022-08-14 04:14:22","","80–95","","58","","","","","","","","","","","","CC0 1.0 Universal Public Domain Dedication","","","","Diğer","","","","G:\Drive'ım\Zotero_Attachments\erden_et_al_2016_investigation_of_the_effect_on_the2.pdf","","Davranışları; Erkek Bakım Ürünleri; Faktör Analizi; Kadın Figürü Etkisi; Satın Alma; Tüketici Algısı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S3L92DKH","journalArticle","2016","Demir, Halil Ibrahim; Cakar, Tarık; Ibrahim Cil; Dugenci, Muharrem; Erden, Caner","Integrating Process Planning, WMS Dispatching, and WPPW Weighted Due Date Assignment Using a Genetic Algorithm","International Journal of Computer and Information Engineering","","","","http://scholar.waset.org/1307-6892/10005156","Conventionally, process planning, scheduling, and due-date assignment functions are performed separately and sequentially. The interdependence of these functions requires integration. Although integrated process planning and scheduling, and scheduling with due date assignment problems are popular research topics, only a few works address the integration of these three functions. This work focuses on the integration of process planning, WMS scheduling, and WPPW due date assignment. Another novelty of this work is the use of a weighted due date assignment. In the literature, due dates are generally assigned without considering the importance of customers. However, in this study, more important customers get closer due dates. Typically, only tardiness is punished, but the JIT philosophy punishes both earliness and tardiness. In this study, all weighted earliness, tardiness, and due date related costs are penalized. As no customer desires distant due dates, such distant due dates should be penalized. In this study, various levels of integration of these three functions are tested and genetic search and random search are compared both with each other and with ordinary solutions. Higher integration levels are superior, while search is always useful. Genetic searches outperformed random searches.","2016","2020-05-07 10:24:13","2020-05-07 11:39:17","","1290–1298","","7","10","","","","","","","","","","","All rights reserved","","","","","","Konf","","G:\Drive'ım\Zotero_Attachments\demir_et_al_2016_integrating_process_planning,_wms.pdf","","genetic algorithm; process planning; random search; weighted due-date assignment; weighted scheduling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WV97QVB9","journalArticle","2016","Erden, Caner; Yener, Furkan; Çil, Ibrahim; Çerezci, Feyza","Fuzzy Axiomatic Design for Solving the Facility Layout Problem of a Furniture Company","International Journal of Operations and Logistics Management","","2310-4945","","http://absronline.org/journals/index.php/ijolm/article/view/644","In this study, we deal with fuzzy variables to develop a methodology for optimizing layout problem under uncertainty using the principles of axiomatic design. Axiomatic design provides a brief framework to decision-making in the manufacturing process. We use axiomatic design principles to solve facility layout problem of a furniture company by using practical information taken from company official. Some taken information which are maintenance, visual control, quality (Judoka), flexibility, volatility about layout problem is not numerical. Therefore, it is necessary to use fuzzy principles in order to get better results. To optimize facility layout can improve operations and process of the company which provides better lead time and more customer satisfactions. As a result of the study, it is recommended to the wooden company to decide U type facility layout system for its production system.","2016","2018-11-05 07:06:53","2020-05-07 11:36:36","","145–155","","3","5","","","","","","","","","","","CC0 1.0 Universal Public Domain Dedication","","","","Diğer","","","","G:\Drive'ım\Zotero_Attachments\erden_et_al_2016_fuzzy_axiomatic_design_for_solving_the.pdf","","Facility Layout Problem; Fuzzy Axiomatic Design; Lean manufacturing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WJ3MA6E9","journalArticle","2017","Teke, Çagatay; Okutkan, Caner; Erden, Caner","Determining the Production Amounts in Textile Industry with Fuzzy Linear Programming","International Journal of Engineering and Technology Research","","","","http://dergipark.gov.tr/ijente/issue/32734/363156","In the early part of the last century, making the mathematical model of the real problems encountered became one of the most important issue of engineering. At this point, operations research has begun to be applied in decision making problems. However, as a result of daily life in the developing process, very complex problems have been encountered. Fuzzy set theory introduced by Zadeh tried to cope with complexity caused by uncertainty and lack of information. In this study, a fuzzy linear programming model was constructed using data from a factory which produces cloth types in textile industry. Solution of the model gives the amount of production for each cloth type in order to get optimal solution for profit maximizing. In this way, problems that may occur such as cost, waste of time, overstock and customer loss will be prevented.","2017","2018-11-05 07:06:40","2020-05-07 11:33:08","","1–6","","1","2","","","","","","","","","","","CC0 1.0 Universal Public Domain Dedication","","","","Diğer","","","","G:\Drive'ım\Zotero_Attachments\teke_et_al_2017_determining_the_production_amounts_in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
